Usage,Text,Label
Public,A bdelul okdemelem a cheloit er a Emerert.,pau
Public,A bo dechebuul e a kedeiuul oltoir.,pau
Public,A chemeled a di dongaus er ngii e durur.,pau
Public,A chimad el dodersii a chimal a chad el odersii.,pau
Public,A cherechar a lokelii,pau
Public,A eolt a bad er a cheskiik.,pau
Public,A isnged a di kmeed e diak dengetemii.,pau
Public,A kilt a udach,pau
Public,A mekngit el tekoi a dub e a ungil el tekoi a ollak.,pau
Public,A mesei a delal a telid.,pau
Public,A ochim a meklechem.,pau
Public,A omkokl el sechou a medinges.,pau
Public,A ralm a diak locheraol. ,pau
Public,A reched a ioud.,pau
Public,A redil a desemelel a sechal. ,pau
Public,A rekung el daob a mla otitech a rekung el beluu.,pau
Public,A remeteet a ko er a redechel a bngaol el di ruebet e oulkou.,pau
Public,A rengalek el sechal a di mekekerei e kora mersaod el melbard er ter ra btil a ralm.,pau
Public,A rengud me chodab.,pau
Public,A sebiil e kau aimong.,pau
Public,A telekangel a dilu meng beluu Ngersuul,pau
Public,A uel el kuk meremang el me omeklatk me ng mo uchul a klengitereng,pau
Public,A ukall a diak lebo ltitimel.,pau
Public,A ungil el merreder a ua chull el melemedem er a daob.,pau
Public,Aika chedengal a matukeiol.,pau
Public,Chais Belau.,pau
Public,Ak meruul me kau er a terudel?,pau
Public,A merekos el tekoi a mechuached a telemtemul.,pau
Public,A redelemiu ouerau ongeched. ,pau
Public,A remechebuul a klekedellel a beluu.,pau
Public,A resechal a reng er tir bad. ,pau
Public,Banged er a Kemais.,pau
Public,Beches a desomel.,pau
Public,Beches el ears.,pau
Public,Bekiu a ngerel.,pau
Public,Berengelel a deleb. ,pau
Public,Bertechelel a deleb,pau
Public,Bisech rebai el tekoi.,pau
Public,Bita el tuangel.,pau
Public,Bekokuii er a reng.,pau
Public,Bkul a kesol.,pau
Public,Bo mchermii a oruklel a Dachelbai.,pau
Public,Bengud a derrir.,pau
Public,Choreor ourois a rechad.,pau
Public,Delebusols.,pau
Public,Dings e deel,pau
Public,Dmolech er a reng.,pau
Public,Ebedel a kesol. ,pau
Public,Eldochel a klekekered chad a ilkolk.,pau
Public,Chemang.,pau
Public,Emeched el bekall.,pau
Public,Cheremrum. ,pau
Public,Euid el lomengur. ,pau
Public,Ideuekl chemaidechedui.,pau
Public,Ienged el merreder. ,pau
Public,Ilad el dui.,pau
Public,Kau ke ngelekel a Redechor me ke di dechor?,pau
Public,Ke ko er a katuu el di kau el di melecholb er kau.,pau
Public,Ke ko er a okared el di ngii el melul er ngii er a ngau.,pau
Public,Ke ko er a rubak er a Ngerechelong el omtab er a bngel er a eabed.,pau
Public,Ke ko er a tuu er a Cheangel.,pau
Public,Ke ko er a bisech er a bai el dechor er a rebai e diak dousbech er ngii. ,pau
Public,Ke ko er a cheberdord el di ngii el melul er ngii er a ngau.,pau
Public,Ke ko er a cherabrukl el di blsiochel e reborb.,pau
Public,Ke ko er a kedam el suebek e ak di oba okum.,pau
Public,Ke ko er a kuaol el sbungel er bab me iou.,pau
Public,Ke ko er a otaor el di omtitechakl el diak a blil.,pau
Public,Ke ko er a sechou el suebek e mekebekabes ochil.,pau
Public,Ke mnga llel a kesuk.,pau
Public,Kedeb a chimal,pau
Public,Ke di lotkii a Chelechang e diak mletkii a Cherechar.,pau
Public,Ke di medochii e rouar; kemam a mekerang? ,pau
Public,Kemangel a chimal.,pau
Public,Ke mera el di medochii el rouar.,pau
Public,Ke mera el ngelekel a ulled.,pau
Public,Kemngal osenged,pau
Public,Kid a rechad a milechell er a kosekodel.,pau
Public,Kmai.,pau
Public,Kmakm mechab: charm er a chab el kmeed er a ngau e diak lemedul.,pau
Public,Kom chameiu el blai.,pau
Public,Kom ko er a mekebud el betok e di telechem.,pau
Public,Ksull.,pau
Public,Lak bo mua chad er a Ngerchemai el miltom er a uel el metom ra mlai.,pau
Public,Lak moltoech er a todem.,pau
Public,Meas.,pau
Public,Meduch a ngerel.,pau
Public,Mekebud.,pau
Public,Melim e menga er a ngar er a ucharm. ,pau
Public,Menga a kim.,pau
Public,Menga a ekil.,pau
Public,Mengar me a mecherocher.,pau
Public,Mengesakl a ulaol,pau
Public,Mengib a otechel a sils.,pau
Public,Mengii a ududel.,pau
Public,Mengoit a chedal a Ngetkeuang. ,pau
Public,Mesachel a oruikl. ,pau
Public,Mesumech e dmanges.,pau
Public,Metkul a bkul a Ngirair e klou el Belau el mo er a Ngerechelong. ,pau
Public,Ng mlenga a telochel a demal me ng uai ngii.,pau
Public,Mokes a okesongel.  ,pau
Public,Molech.,pau
Public,Moutekangel e ng kmeda a meched.,pau
Public,Msebechii a kelel Ngersuul.,pau
Public,Msisichau e a tutau a kmedang. ,pau
Public,Msisichau e ng di kmeed a meched.,pau
Public,Mechut el ears. ,pau
Public,Ng di ngmai a llechul er a rael.,pau
Public,Ng di ua dorael er a medal a oles.,pau
Public,Ng dimlak longesimer a tekoi el chad.,pau
Public,Ng kmes a usekerel el chad,pau
Public,Ng ko er a beab er a Ngerard el kma a lisiu me a lisam.,pau
Public,Ng ko er a bekerurt el chebis el di ruebet e melalem.,pau
Public,Ng ko er a Beriber me a Chemaredong.,pau
Public,Ng ko er a chad er a Ngesias el ngemuu er a mla mokom.,pau
Public,Ng ko er a chades er a Rebodel.,pau
Public,Ng ko er a dechil a Ngiraidechiil el dirk bengel.,pau
Public,Ng ko er a kim er a Murael el di dengarech e oker a chais.,pau
Public,Ng ko er a meas er a Ngetmeduch el di ngii el oltak er ngii er a derau.,pau
Public,Ng ko er a menga a blelekl.,pau
Public,Ng ko er a Ngerechebal el ka lsingd er a Imeliik me a ka lsingd er a Ngerekebesang.,pau
Public,Ng ko er a omenga el Raus el sosokod e di keang.,pau
Public,Ng ko er a chameiu.,pau
Public,Ng kora bosed er a Ngiraeuekelebid.,pau
Public,Ng ko er a Beachedarsai el di telkib e diak bo lak,pau
Public,Ng kora bechars er a Ngerdobotar el di kiei me ng chelengang,pau
Public,Ng ko er a belochel el mesengei otelochel e suebek.,pau
Public,Ng ko er a beremel a chelechelui.,pau
Public,Ng ko er a besos Lechemai el di ngariou el meritech,pau
Public,Ng ko er a biul el chad el ngesonges er a buld. ,pau
Public,Ng ko er a blsuus el telebudel.,pau
Public,Ng ko er a btil a Titechingai,pau
Public,Ng ko er a bukitang el meduch el meldelodech a bedengel.,pau
Public,Ng ko er a chad er ker el melechong e ngak a mekerasem.,pau
Public,Ng ko er a chad er a Ngcheangel el di me chemed er a Ngkesol.,pau
Public,Ng ko er a chad er a Ngerechelong el di bita el mo dechor er a debsel a lei.,pau
Public,Ng ko er a chad er a Ngerechemai el metom er a uel el metom er a mlai.,pau
Public,Ng ko er a char er a Kosiil el lecheraches e ng mong me a lekeriik e ng mei.,pau
Public,Ng ko er a ebedel a Mengellakl el di mochu meleketek. ,pau
Public,Ng kora chebiei el Cheangel el di ta e chutur a ta el suk.,pau
Public,Ng ko er a chelatngikl el diak lebeldakl oltellel e dingemuu. ,pau
Public,Ng ko er a chelebed er a Utaor el di ta temetemir,pau
Public,Ng ko er a Chelebesoi er a Ngeriil el mad er a diak lebngel.,pau
Public,Ng ko er a chelid er a Ngebuked el di rirekir er a bab.,pau
Public,Ng ko er a chellel ongos el di mengeleu e tmat a deluus. ,pau
Public,Ng ko er a cherellel a beab el di ta e keroker.,pau
Public,Ng ko er a ongit Irrai.,pau
Public,Ng ko er a debar er a Ngechur el klungang e me ngal modekriker.,pau
Public,Ng ko er a dereberebel olik el chelidobel e tellatel. ,pau
Public,Ng ko er a derumk el di merrumk er ngii el diak a ultutelel. ,pau
Public,Ng ko er a ibuchel er a Ngemai el di kiei me a dekedekel.,pau
Public,Ng kora ilaot Itkib el di ngii el romur.,pau
Public,Ng ko er a ilotel a melenges er a Ngesebei el melecheseb er a tedobech el omekeek er a mui.,pau
Public,Ng ko er a iubet er a keburs.,pau
Public,Ng ko er a kaeb er a Chelong el di bekerurt er a ongor.,pau
Public,Ng ko er a kaldos el choitii a telemall e omkar er a mechubs.,pau
Public,Ng ko er a kedarm el di metirem e metord.,pau
Public,Ng ko er a killii a derudm el medel a betok el tekoi.,pau
Public,Ng ko er a kobesos.,pau
Public,Ng ko er a meiko er a Tmel el di mengereel el olsiu er ngii er a ngau.,pau
Public,Ng ko er a mekemedil a Ulong el doba er a kebesengei,pau
Public,Ng ko er a melechong el terriid.,pau
Public,Ng ko er a mengang er a beritengetang el kukau.,pau
Public,Ng ko er a mud er a Bngei el di melecheb er a rrengor.,pau
Public,Ng ko er a mur er a Ngchesar el di klukuk el di klukuk.,pau
Public,Ng ko er a Ngiramesemong el omilt a mla me e mong.,pau
Public,Ng ko er a Ngirekolik.,pau
Public,Ng ko er a ngkelel a iusech el dimengel a medad er ngii,pau
Public,Ng ko er a ngklel a bai er a Chol: a Medederiik,pau
Public,Ng ko er a ngklel a bai er a Ngerekabesang: a Telkakl,pau
Public,Ng ko er a nguis el beritengetang a chural (or Britengetang). ,pau
Public,Ng ko er a olengchelel a eolt er a Saipan.,pau
Public,Ng ko er a omelechong er a diong er a Tellei: Lolecholb a chad e ke mekerasem.,pau
